# Requirement differences between 'cis-r3' and 'cis-r4'
# Format: NAME,ABSENT-IN-<FILE>,PRESENT-IN-<FILE>,REQ_OR_NA
Access Control,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Anonymous Auth,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Anonymous Authentication,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Add AAC for 4.1.7
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Add AAC for 4.3.2
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Add AAC for 4.4.1
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Add AAC for 5.2.1
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Avoid use of system:masters group
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Ensure that all Namespaces have Network Policies defined
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Ensure that the --read-only-port is disabled.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Ensure that the --rotate- certificates argument is not present or is set to true.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Ensure that the cluster-admin role is only used where required.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Minimize the admission of containers wishing to share the host network namespace.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Minimize the admission of containers with added capabilities.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Minimize the admission of containers with allowPrivilegeEscalation.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Minimize the admission of containers with capabilities assigned.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Minimize the admission of root containers.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Prefer using a container- optimized OS when possible.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Prefer using dedicated EKS Service Accounts
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,The cluster-admin role should only be used where required.
API Rate Limiting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,The default namespace should not be used.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Audit Logs are collected and managed.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Encrypt traffic to HTTPS load balancers with TLS certificates.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure AmazonEKSNetworkingPolicy is Enabled and set as appropriate.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure CNI plugin supports network policies.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure Image Vulnerability Scanning using Amazon ECR.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure all Namespaces have Network Policies defined.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure that the kubelet configuration file has permissions set to 644 or more restrictive.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure that the kubelet configuration file ownership is set to root:root.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Kubelet kubeconfig file ownership is set to root:root.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Manage Kubernetes RBAC users with AWS IAM Authenticator for Kubernetes or Upgrade to AWS CLI.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Minimize Container Registries to only those approved.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Minimize access to create pods.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Minimize cluster access to read-only for Amazon ECR.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Minimize user access to Amazon ECR.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Minimize wildcard use in Roles and ClusterRoles.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Restrict Access to the Control Plane Endpoint.
API Rate Limiting,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,kubeconfig file permissions are set to 644 or more restrictive.
Audit Logging,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Apply the audit policy configuration to the cluster
Audit Logging,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Create or update the audit-policy.yaml to specify the audit logging configuration
Audit Logging,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Ensure audit logs are forwarded to a centralized logging system
Audit Logging,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets.
Audit Logs,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Audit Procedure Update,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Authentication,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,System:masters permissions are configured in the Amazon EKS control plane.
Authorization Mode,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Automated Vulnerability Scans,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
AWS Key Management Service (KMS) keys to provide envelope encryption of Kubernetes secrets stored in Amazon EKS,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Certificate Rotation,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
CIS Benchmarks,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Cluster Access Management,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Cluster Access Manager API,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Enhanced compliance
Cluster Access Manager API,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Enhanced security
Cluster Access Manager API,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Improved visibility
Cluster Access Manager API,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,Simplified access management
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Aligns with AWS's roadmap and best practices for EKS.
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Enhances resilience against misconfigurations, minimizing the risk of downtime.
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Improves visibility and auditing capabilities through API integration with AWS CloudTrail.
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Provides enhanced security controls through direct IAM permission assignment.
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Reduces operational overhead by automating access provisioning through Infrastructure as Code (IaC).
Cluster Access Manager API,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,Simplifies access management by eliminating manual updates to the aws-auth ConfigMap.
Cluster Access Manager API Activation,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Configure Data Access Control Lists (ACLs),ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Configure Data Access Control Lists v8,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Control Plane Logging Configuration,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Disable the read-only port,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
ECR Registry Access Control,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
ECR Registry Identification,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Enable API Server Audit Logs,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Encrypt Sensitive Data in Transit,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Endpoint Configuration,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Establish and Maintain Dedicated Computing Resources for All Administrative Work,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Establish Secure Configurations,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Establishing Secure Configurations,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
HostPID Restriction,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
IAM Authenticator for Kubernetes,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Image Scanning and Vulnerability Management,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
kubelet file ownership,ABSENT-IN-cis-r4,PRESENT-IN-cis-r3,NA
Kubernetes Network Policies,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
Kubernetes RBAC Management,ABSENT-IN-cis-r3,PRESENT-IN-cis-r4,NA
